City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Ode,100,NG,1584471196,39,7.79,5.71,90.05,5.77
Hervey Bay,90,AU,1584471196,82,-25.3,152.85,68.0,5.82
Bambanglipuro,99,ID,1584471197,91,-7.95,110.28,75.65,5.99
Looc,11,PH,1584471197,86,12.26,121.99,77.09,14.25
Marrakesh,20,MA,1584471000,36,31.63,-8.01,62.6,8.05
Jasper,90,US,1584471197,100,37.2,-94.35,54.0,8.05
Varna,0,BG,1584471197,57,43.22,27.92,39.2,6.93
Araçoiaba da Serra,13,BR,1584471198,54,-23.51,-47.61,85.55,5.53
Ancud,40,CL,1584471198,63,-41.87,-73.82,62.6,5.82
Codrington,100,AU,1584471198,52,-38.27,141.97,68.45,16.8
Dodge City,90,US,1584471198,100,37.75,-100.02,41.0,11.41
Pemangkat,3,ID,1584471198,90,1.17,108.97,77.27,8.28
Reading,75,GB,1584471125,81,51.46,-0.97,53.6,16.11
Boden,100,SE,1584471199,80,65.83,21.69,35.6,8.05
Kalabo,96,ZM,1584471199,88,-14.97,22.68,68.09,4.47
Bedelē,100,ET,1584471199,60,8.46,36.35,70.61,8.12
Tarko-Sale,82,RU,1584471200,84,64.92,77.78,21.0,4.0
Zhigansk,51,RU,1584471200,91,66.77,123.37,-25.69,14.0
Skjervøy,75,NO,1584471200,92,70.03,20.97,30.2,5.82
Buala,13,SB,1584471200,85,-8.14,159.59,78.17,4.61
Nantucket,90,US,1584471200,100,41.28,-70.1,43.0,16.11
Kavieng,100,PG,1584471201,75,-2.57,150.8,83.21,13.0
Paralímni,20,CY,1584471201,71,35.04,33.98,51.01,16.11
Karratha,0,AU,1584471201,73,-20.74,116.85,86.27,11.14
Kurchum,72,KZ,1584471201,72,48.57,83.65,26.15,1.86
Biak,47,ID,1584471202,76,-0.91,122.88,81.05,5.32
Vitim,99,RU,1584471202,97,59.45,112.56,25.79,6.55
Flinders,30,AU,1584471202,93,-34.58,150.86,59.0,9.17
Wagar,3,SD,1584471202,10,16.15,36.2,82.67,12.12
Yaan,100,NG,1584471202,20,7.38,8.57,95.45,2.24
Pierre,90,US,1584471002,69,44.37,-100.35,35.6,20.8
Pangody,100,RU,1584471203,96,65.85,74.49,25.25,13.02
Nemuro,0,JP,1584471203,78,43.32,145.57,32.27,8.03
Carballo,0,ES,1584471204,63,43.21,-8.69,60.8,4.7
Pyn U Lwin,0,MM,1584471204,37,22.03,96.47,68.81,0.6
Pecos,40,US,1584470906,82,31.42,-103.49,75.99,5.82
Alexandria,2,EG,1584471105,62,31.22,29.96,54.23,15.86
Oussouye,0,SN,1584471204,74,12.48,-16.55,89.6,9.17
Caravelas,9,BR,1584471205,73,-17.71,-39.25,81.77,8.84
Chimoio,40,MZ,1584471205,94,-19.12,33.48,71.6,5.93
Nur-Sultan,75,KZ,1584471007,92,51.18,71.45,24.8,11.18
Stupino,0,RU,1584471129,48,54.9,38.07,39.2,6.71
Jieshi,50,CN,1584471205,76,22.81,115.83,69.01,2.06
Chicama,40,PE,1584471206,78,-7.84,-79.15,75.2,10.29
Saint-Augustin,91,CA,1584471206,72,51.23,-58.65,27.05,26.24
San Patricio,20,MX,1584471206,79,19.22,-104.7,86.0,11.41
Portales,90,US,1584470990,100,34.19,-103.33,60.01,20.8
Inuvik,75,CA,1584471207,92,68.35,-133.72,15.8,2.24
Half Moon Bay,1,US,1584471207,71,37.46,-122.43,55.99,5.82
Coahuayana Viejo,5,MX,1584471207,48,18.73,-103.68,82.4,7.47
Talcahuano,0,CL,1584471208,60,-36.72,-73.12,69.8,13.87
Brae,96,GB,1584471208,86,60.4,-1.35,41.0,14.99
Nkhotakota,38,MW,1584471208,69,-12.93,34.3,81.05,7.02
Llandrindod Wells,100,GB,1584471208,89,52.24,-3.38,54.0,1.99
Praia da Vitória,20,PT,1584471208,68,38.73,-27.07,66.2,15.23
Royan,90,FR,1584471209,71,45.63,-1.03,57.2,3.18
Kamenka,0,RU,1584471209,62,51.32,42.77,34.0,5.84
Whitehorse,90,CA,1584471209,72,60.72,-135.05,14.0,2.01
Prudentópolis,13,BR,1584471191,31,-25.21,-50.98,93.29,0.87
Makakilo City,90,US,1584471191,100,21.35,-158.09,75.2,5.82
Souillac,40,MU,1584471210,88,-20.52,57.52,77.0,3.36
Provideniya,100,RU,1584471210,96,64.38,-173.3,22.19,3.02
Rocha,33,UY,1584471210,35,-34.48,-54.33,81.23,13.18
Ilo,100,PE,1584471210,73,-17.64,-71.34,75.2,5.82
Coihueco,0,CL,1584471210,38,-36.62,-71.83,77.0,10.29
Japura,86,ID,1584471211,97,-0.32,102.35,73.67,1.52
Ocosingo,40,MX,1584471211,58,17.07,-92.25,86.0,6.93
Cubará,74,CO,1584471211,51,7.0,-72.11,83.75,0.63
Quelimane,20,MZ,1584471211,83,-17.88,36.89,80.6,5.82
Tucumã,48,BR,1584471212,81,-0.18,-50.05,82.67,7.61
Pleasant Point,14,NZ,1584471212,81,-44.27,171.13,45.0,3.29
Oistins,40,BB,1584471002,58,13.07,-59.53,84.2,14.99
Kyaikkami,0,MM,1584471212,72,16.08,97.57,82.85,11.3
Altamont,90,US,1584471212,73,42.21,-121.74,44.01,13.87
Muros,0,ES,1584471213,67,42.78,-9.06,64.99,8.05
Lavrentiya,100,RU,1584471213,96,65.58,-171.0,24.17,5.93
Ejido,99,VE,1584471213,85,8.55,-71.24,54.95,3.87
Katherine,12,AU,1584471213,69,-14.47,132.27,75.2,5.82
Mapiripán,83,CO,1584471213,38,2.89,-72.13,95.09,6.93
Tiksi,84,RU,1584471214,88,71.69,128.87,-30.73,8.37
Sur,0,OM,1584471214,66,22.57,59.53,67.37,1.72
Mandalgovi,12,MN,1584471214,65,45.76,106.27,29.21,21.92
Eskil,96,TR,1584471214,56,38.4,33.41,32.99,20.92
Puerto Carreño,6,CO,1584470932,22,6.19,-67.49,101.93,13.8
Turan,40,VN,1584471215,83,16.07,108.22,78.8,5.82
Onega,100,RU,1584471215,68,63.91,38.14,30.83,15.7
Airai,0,TL,1584471215,91,-8.93,125.41,64.85,3.53
Mount Gambier,90,AU,1584471216,33,-37.83,140.77,71.6,12.75
Monção,40,PT,1584471216,55,42.08,-8.48,66.2,3.36
Dicabisagan,67,PH,1584471216,76,17.08,122.42,71.51,0.74
Vilyuysk,100,RU,1584471216,91,63.76,121.62,-8.05,8.12
Demirci,0,TR,1584471216,67,39.05,28.66,32.45,8.1
Umba,100,RU,1584471217,94,66.69,34.34,28.49,17.38
Mayo,1,US,1584471217,67,38.89,-76.51,64.0,8.05
Vostok,61,RU,1584471217,89,46.49,135.88,11.03,5.3
Dauphin,90,CA,1584471217,57,51.15,-100.05,17.6,5.82
Los Llanos de Aridane,75,ES,1584471218,68,28.66,-17.92,64.4,18.34
Matagami,75,CA,1584471218,54,49.75,-77.63,30.2,12.75
Oriximiná,100,BR,1584471185,57,-1.77,-55.87,89.87,3.09
Itupiranga,75,BR,1584471218,59,-5.13,-49.33,91.4,4.7
Nome,90,US,1584471218,86,64.5,-165.41,27.0,18.34
Linxia Chengguanzhen,75,CN,1584471219,55,35.6,103.21,35.69,3.24
Brigantine,90,US,1584471219,62,39.41,-74.36,55.4,9.17
Husavik,90,IS,1584471219,96,66.04,-17.34,32.0,21.92
Geraldton,90,AU,1584471219,72,-28.77,114.6,68.0,14.99
Cherskiy,100,RU,1584471220,94,68.75,161.3,7.61,15.59
Hargeisa,66,SO,1584471220,83,9.56,44.06,69.53,6.76
Sorong,5,ID,1584471220,96,-0.88,131.25,71.15,1.34
Mūl,97,IN,1584471220,37,20.07,79.67,85.91,3.13
Perth,20,AU,1584471073,59,-31.93,115.83,66.99,11.41
Luau,92,AO,1584471221,93,-10.71,22.22,69.35,3.09
Turan,40,VN,1584471215,83,16.07,108.22,78.8,5.82
Innisfail,58,AU,1584471221,89,-17.53,146.03,71.87,4.5
Lazi,4,UA,1584471221,69,48.07,24.23,38.57,2.26
Progreso,75,MX,1584471222,40,21.28,-89.67,90.0,8.05
Dwārka,0,IN,1584471222,60,22.24,68.97,78.71,5.93
Ampanihy,29,MG,1584471222,78,-24.7,44.75,69.17,8.95
Dali,55,CN,1584471223,76,25.7,100.18,47.39,2.62
Gandorhun,44,SL,1584471223,51,7.5,-11.83,86.81,9.82
Senneterre,75,CA,1584471223,86,48.38,-77.23,32.0,11.41
Goderich,89,CA,1584471223,76,43.75,-81.72,42.01,23.0
Bereda,87,ES,1584471224,63,43.27,-7.54,60.8,4.7
Araripina,92,BR,1584471181,73,-7.58,-40.5,81.23,1.9
Otradnoye,40,RU,1584471224,80,59.78,30.82,37.0,8.95
Alice Springs,0,AU,1584471224,56,-23.7,133.88,68.0,4.7
Meulaboh,78,ID,1584471225,73,4.14,96.13,84.47,12.8
Nanortalik,0,GL,1584471225,57,60.14,-45.24,19.85,16.46
Martina Franca,0,IT,1584471225,76,40.7,17.33,55.99,5.82
Peniche,0,PT,1584471225,44,39.36,-9.38,62.01,12.75
Aden,77,YE,1584471045,73,12.78,45.04,79.25,15.86
Mitsamiouli,75,KM,1584471226,83,-11.38,43.28,78.8,9.17
Batī,97,ET,1584471226,65,11.18,40.02,71.87,2.35
Santarém,20,BR,1584471064,70,-2.44,-54.71,89.6,11.41
Toba,75,JP,1584471226,65,34.48,136.85,44.6,13.87
Constitución,4,CL,1584471227,56,-35.33,-72.42,66.83,10.69
Tigil',70,RU,1584471227,89,57.8,158.67,5.63,6.42
Taksimo,100,RU,1584471227,80,56.34,114.88,14.09,6.44
Sechura,28,PE,1584471227,82,-5.56,-80.82,76.19,10.71
Prabumulih,100,ID,1584471228,96,-3.45,104.25,75.29,2.75
Copiapó,3,CL,1584471228,53,-27.37,-70.33,73.4,17.22
Redding,90,US,1584471228,97,40.59,-122.39,43.0,3.65
Hoquiam,1,US,1584471228,52,46.98,-123.89,50.0,2.35
Kysyl-Syr,99,RU,1584471228,91,63.9,122.76,-9.85,8.46
Dunedin,6,NZ,1584471229,75,-45.87,170.5,50.0,6.71
Tshikapa,83,CD,1584471229,95,-6.42,20.8,72.23,0.92
Mizdah,81,LY,1584471229,70,31.45,12.98,58.73,25.95
Témiscaming,75,CA,1584471229,64,46.72,-79.1,39.99,12.75
Novomykolayivka,98,UA,1584471229,47,47.98,35.91,37.4,2.24
Tabou,65,CI,1584471230,79,4.42,-7.35,82.49,6.22
Labuhan,100,ID,1584471230,91,-6.88,112.21,75.83,2.71
Pevek,83,RU,1584471230,79,69.7,170.31,23.63,15.19
Berdigestyakh,90,RU,1584471231,98,62.1,126.7,-1.57,4.76
Karasburg,65,NA,1584471231,20,-28.02,18.75,84.83,15.55
Jatibonico,11,CU,1584471231,44,21.94,-79.17,85.91,14.38
Ambilobe,22,MG,1584471231,89,-13.2,49.05,77.27,1.99
Tingo María,75,PE,1584471232,69,-9.29,-76.01,80.6,4.7
Sisimiut,100,GL,1584471232,84,66.94,-53.67,2.57,18.5
Tommot,94,RU,1584471232,97,58.96,126.29,17.15,1.48
Ārvi,31,IN,1584471232,41,20.98,78.23,80.87,4.03
Coquimbo,20,CL,1584471028,68,-29.95,-71.34,66.2,13.87
Lisala,81,CD,1584471233,94,2.15,21.52,73.13,7.87
Russellville,90,US,1584470969,93,35.28,-93.13,54.0,5.82
Hudson Bay,98,CA,1584471233,74,52.85,-102.38,12.83,4.9
Pangnirtung,90,CA,1584471233,65,66.15,-65.71,6.8,10.29
Maputo,20,MZ,1584471233,60,-25.97,32.59,73.4,10.29
Viña del Mar,0,CL,1584471213,68,-33.02,-71.55,66.2,8.05
Ati,80,TD,1584471234,12,13.22,18.34,88.07,8.86
Koslan,91,RU,1584471234,92,63.46,48.9,23.45,9.46
Shushenskoye,95,RU,1584471234,85,53.33,91.94,24.8,4.47
Narsaq,20,GL,1584471235,40,60.92,-46.05,17.6,1.12
Tekkali,14,IN,1584471235,77,18.62,84.23,76.19,0.81
Carutapera,39,BR,1584471235,78,-1.2,-46.02,82.13,11.39
Katsuura,0,JP,1584471235,61,35.13,140.3,48.0,3.36
Azuaga,65,ES,1584471235,51,38.27,-5.68,55.0,5.01
Emerald,0,AU,1584471236,88,-23.53,148.17,64.4,5.82
Bubaque,0,GW,1584471236,72,11.28,-15.83,79.43,16.8
Alugan,64,PH,1584471236,85,12.22,125.48,78.17,16.33
Asunción,20,PY,1584471126,37,-25.3,-57.64,100.4,11.41
Khani,90,GE,1584471236,93,41.96,42.96,37.4,3.36
Kutno,71,PL,1584471237,70,52.23,19.36,48.0,1.12
Conceição do Araguaia,20,BR,1584471237,52,-8.26,-49.26,91.4,2.24
Uvira,100,CD,1584471237,92,-3.41,29.15,54.05,1.72
Marsh Harbour,0,BS,1584471237,67,26.54,-77.06,73.31,8.9
Catuday,16,PH,1584471237,78,16.29,119.81,77.99,11.01
Atar,96,MR,1584471238,14,20.52,-13.05,82.49,9.84
São Filipe,22,CV,1584471238,78,14.9,-24.5,67.37,21.03
Ballina,39,AU,1584471238,93,-28.87,153.57,60.01,11.54
Ibirubá,17,BR,1584471239,31,-28.63,-53.09,93.29,4.56
Sinnamary,71,GF,1584471239,74,5.38,-52.95,80.69,11.18
Nakhon Phanom,33,TH,1584471239,78,17.41,104.78,79.0,3.53
Paraná,100,AR,1584471009,94,-31.73,-60.52,73.0,7.0
Kandrian,100,PG,1584471240,93,-6.22,149.55,73.67,3.4
Baoro,12,CF,1584471240,24,5.67,15.97,79.97,3.18
Staunton,40,US,1584471240,59,38.15,-79.07,66.0,10.29
Cairns,40,AU,1584471240,78,-16.92,145.77,77.0,10.29
Neyshabur,78,IR,1584471240,59,36.21,58.8,55.49,18.59
Arkhara,99,RU,1584471241,96,49.42,130.08,22.91,4.52
Barkhera Kalān,0,IN,1584471241,53,28.45,79.8,64.67,5.84
San Roque,75,ES,1584471241,77,36.21,-5.38,60.8,25.28
